Year,Zip,Count
2008,78702,18
2008,78703,22
2008,78704,24
2008,78721,7
2008,78731,7
2008,78741,3
2008,78744,1
2008,78756,3
2008,78757,2
2009,78702,23
2009,78703,29
2009,78704,19
2009,78721,5
2009,78731,7
2009,78741,7
2009,78744,1
2009,78745,3
2009,78756,3
2009,78757,6
2010,78702,26
2010,78703,24
2010,78704,27
2010,78721,6
2010,78731,7
2010,78741,13
2010,78744,6
2010,78745,2
2010,78756,6
2010,78757,4
2011,78702,30
2011,78703,25
2011,78704,28
2011,78721,8
2011,78731,13
2011,78741,4
2011,78744,2
2011,78745,17
2011,78756,13
2011,78757,5
2012,78702,47
2012,78703,48
2012,78704,53
2012,78721,7
2012,78731,13
2012,78741,2
2012,78744,3
2012,78745,5
2012,78756,14
2012,78757,19
2013,78702,59
2013,78703,41
2013,78704,70
2013,78721,10
2013,78731,19
2013,78741,6
2013,78744,3
2013,78745,6
2013,78756,18
2013,78757,17
2014,78702,75
2014,78703,37
2014,78704,74
2014,78721,14
2014,78731,24
2014,78741,8
2014,78744,2
2014,78745,11
2014,78756,12
2014,78757,41
2015,78702,59
2015,78703,39
2015,78704,88
2015,78721,18
2015,78731,20
2015,78741,5
2015,78745,8
2015,78756,20
2015,78757,33
2016,78702,71
2016,78703,41
2016,78704,90
2016,78721,21
2016,78731,17
2016,78741,5
2016,78744,43
2016,78745,38
2016,78756,8
2016,78757,35
2017,78702,102
2017,78703,43
2017,78704,105
2017,78721,48
2017,78731,27
2017,78741,30
2017,78744,50
2017,78745,17
2017,78756,24
2017,78757,37
